sqft,url,price,locality,postalCode,Type,Year built,Heating,Cooling,Parking,Price/sqft,beds,baths,timeOnZillow,views,saves,zestimate,rentalZestimate,ele_rating,ele_dist,mid_rating,mid_dist,high_rating,high_dist,original_city
"1,162",https://www.zillow.com/homedetails/1148-Brace-Ave-San-Jose-CA-95125/19680809_zpid/,"$1,299,000",San Jose,95125,Single Family,1913,"Forced air, Gas",No Data,0,"$1,118",2,2.0,2 days,384,15,"$1,373,266","$3,700/mo",5,0.2 mi,5,0.9 mi,7,0.9 mi,san-jose-ca
"1,828",https://www.zillow.com/homedetails/927-Chabrant-Way-San-Jose-CA-95125/19578630_zpid/,"$1,649,000",San Jose,95125,Single Family,1940,Forced air,Central,0,$902,3,3.0,2 days,300,7,"$1,716,333","$4,000/mo",5,0.5 mi,5,1.3 mi,7,1.3 mi,san-jose-ca
800,https://www.zillow.com/homedetails/165-Blossom-Hill-Rd-SPACE-38-San-Jose-CA-95123/153522017_zpid/,"$209,999",San Jose,95123,Mobile / Manufactured,1966,No Data,No Data,0,0,2,1.0,1 day,93,3,"$230,148","$2,955/mo",4,0.6 mi,4,0.8 mi,6,0.9 mi,san-jose-ca
"1,372",https://www.zillow.com/homedetails/109-Springhaven-Ct-San-Jose-CA-95111/19816543_zpid/,"$889,000",San Jose,95111,Single Family,1976,"Forced air, Gas",Central,0,$648,3,2.0,8 days,"2,945",164,"$926,680","$3,500/mo",5,0.6 mi,4,0.5 mi,6,1.1 mi,san-jose-ca
"1,040",https://www.zillow.com/homedetails/961-Spencer-Ave-San-Jose-CA-95125/19578193_zpid/,"$1,098,000",San Jose,95125,Single Family,1948,Gas,None,0,"$1,056",3,2.0,3 days,868,59,"$1,077,921","$3,600/mo",5,0.9 mi,5,1.6 mi,7,1.6 mi,san-jose-ca
778,https://www.zillow.com/homedetails/147-Cleveland-Ave-San-Jose-CA-95128/19582465_zpid/,"$769,950",San Jose,95128,Single Family,1920,"Forced air, Gas",None,0,$990,2,1.0,10 days,"2,912",135,"$784,435","$2,800/mo",4,0.3 mi,6,1.4 mi,7,1.6 mi,san-jose-ca
889,https://www.zillow.com/homedetails/88-E-San-Fernando-St-UNIT-1610-San-Jose-CA-95113/89475421_zpid/,"$749,888",San Jose,95113,Condo,2008,"Forced air, Electric",Central,0,$844,1,1.0,1 day,131,6,"$682,534","$2,700/mo",3,0.3 mi,3,2.2 mi,6,2.3 mi,san-jose-ca
"1,342",https://www.zillow.com/homedetails/2341-Mabury-Rd-San-Jose-CA-95133/19571158_zpid/,"$675,000",San Jose,95133,Townhouse,1976,"Forced air, Gas",Central,0,$503,3,2.0,3 days,850,58,"$704,022","$3,395/mo",7,1.1 mi,5,1.4 mi,6,0.4 mi,san-jose-ca
798,https://www.zillow.com/homedetails/1160-Mastic-St-San-Jose-CA-95110/19683350_zpid/,"$699,000",San Jose,95110,Single Family,1920,"None, Forced air",Central,0,$876,2,1.0,2 days,674,18,"$724,193","$2,760/mo",4,0.3 mi,5,2.1 mi,7,2 mi,san-jose-ca
"2,384",https://www.zillow.com/homedetails/5418-Century-Park-Way-San-Jose-CA-95111/19809228_zpid/,"$1,095,000",San Jose,95111,Single Family,1977,"Forced air, Gas",Central,0,$459,4,3.0,3 days,"1,020",50,"$1,122,177","$3,995/mo",6,1.6 mi,6,2.2 mi,6,1.5 mi,san-jose-ca
"1,429",https://www.zillow.com/homedetails/1859-S-Capitol-Ave-San-Jose-CA-95127/19729002_zpid/,"$799,000",San Jose,95127,Single Family,1983,"Forced air, Gas",Central,0,$559,3,2.5,123 days,"6,687",157,"$799,006","$3,495/mo",3,0.6 mi,4,0.1 mi,5,0.7 mi,san-jose-ca
"1,164",https://www.zillow.com/homedetails/148-Kenbrook-Cir-San-Jose-CA-95111/19737030_zpid/,"$620,000",San Jose,95111,Condo,1987,Forced air,None,0,$533,3,2.0,2 days,439,6,"$648,040","$3,200/mo",3,0.1 mi,4,1.1 mi,5,0.7 mi,san-jose-ca
"2,296",https://www.zillow.com/homedetails/1791-Cherry-Grove-Dr-San-Jose-CA-95125/19593683_zpid/,"$1,798,850",San Jose,95125,Single Family,1957,"Forced air, Gas",Central,0,$783,3,3.0,2 days,348,10,"$1,914,702","$4,300/mo",3,0.5 mi,4,1.9 mi,6,1 mi,san-jose-ca
